num_episodes_passed,cumulative_reward,episode_length,avg_reward,unclipped_episode_reward,unclipped_average_reward
334,2.0,291,1.4251497005988019,2.0,1.4251497005988019
335,4.0,383,1.4328358208955219,4.0,1.4328358208955219
336,3.0,352,1.4374999999999996,3.0,1.4374999999999996
337,2.0,265,1.439169139465875,2.0,1.439169139465875
338,0.0,159,1.43491124260355,0.0,1.43491124260355
339,5.0,418,1.4454277286135691,5.0,1.445427728613569
340,0.0,163,1.4411764705882351,0.0,1.441176470588235
341,4.0,370,1.4486803519061582,4.0,1.4486803519061582
342,1.0,234,1.4473684210526314,1.0,1.4473684210526314
343,5.0,440,1.4577259475218658,5.0,1.4577259475218658
344,1.0,198,1.4563953488372092,1.0,1.4563953488372092
av_max_q,0.06001704977825284
345,2.0,287,1.4579710144927536,2.0,1.4579710144927536
346,3.0,409,1.4624277456647399,3.0,1.4624277456647399
347,2.0,267,1.4639769452449567,2.0,1.4639769452449567
348,0.0,170,1.4597701149425286,0.0,1.4597701149425286
349,2.0,286,1.4613180515759312,2.0,1.4613180515759312
350,5.0,405,1.4714285714285713,5.0,1.4714285714285713
351,2.0,265,1.4729344729344729,2.0,1.4729344729344729
352,3.0,333,1.4772727272727273,3.0,1.4772727272727273
353,1.0,212,1.4759206798866855,1.0,1.4759206798866855
354,3.0,311,1.4802259887005649,3.0,1.4802259887005649
355,0.0,168,1.4760563380281688,0.0,1.4760563380281688
356,4.0,386,1.4831460674157302,4.0,1.4831460674157302
357,1.0,227,1.4817927170868346,1.0,1.4817927170868346
358,8.0,608,1.4999999999999998,8.0,1.4999999999999998
359,4.0,367,1.5069637883008353,4.0,1.5069637883008353
360,2.0,242,1.5083333333333331,2.0,1.508333333333333
361,2.0,265,1.5096952908587256,2.0,1.5096952908587256
362,2.0,272,1.5110497237569058,2.0,1.5110497237569058
363,2.0,256,1.5123966942148759,2.0,1.5123966942148759
364,2.0,260,1.5137362637362637,2.0,1.5137362637362637
av_max_q,0.096568127395585179
365,3.0,325,1.5178082191780822,3.0,1.5178082191780822
366,1.0,214,1.5163934426229508,1.0,1.5163934426229508
367,1.0,230,1.5149863760217983,1.0,1.5149863760217983
368,3.0,320,1.5190217391304348,3.0,1.5190217391304348
369,1.0,207,1.5176151761517616,1.0,1.5176151761517616
